STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS
Odisha,KORAPUT,JAYARAM PANGI,0,BJP,Lotus,MALE,0.0,63.0,ST,10th Pass,,,206153,2245,208398,14.52874544,19.28416564,1434384
Odisha,KORAPUT,BHASKAR MUTUKA,0,BSP,Elephant,MALE,0.0,61.0,ST,Graduate Professional,,,35668,96,35764,2.493335118,3.309431473,1434384
Odisha,KORAPUT,DAMODARA SABAR,0,CPI(ML)(L),Flag with Three Stars,MALE,0.0,67.0,ST,8th Pass,,,26112,5,26117,1.820781604,2.416743702,1434384
Odisha,KORAPUT,BANAMALI MAJHI,0,APoI,Coat,MALE,0.0,45.0,ST,Post Graduate,,,18842,7,18849,1.314083258,1.744197344,1434384
Odisha,KORAPUT,RAJENDRA KENDRUKA,0,CPIM,Saw,MALE,1.0,27.0,ST,5th Pass,,,15826,1,15827,1.103400484,1.464555752,1434384
Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,1,INC,Hand,FEMALE,0.0,65.0,GENERAL,Post Graduate,,,522671,639,523310,34.68293524,46.00838914,1508840
Chhattisgarh,KORBA,JYOTI NAND DUBEY,0,BJP,Lotus,MALE,0.0,52.0,GENERAL,10th Pass,,,495960,1101,497061,32.94325442,43.70062853,1508840
Chhattisgarh,KORBA,TULESHWAR HIRASINGH MARKAM,0,GGP,Saw,MALE,0.0,45.0,ST,Graduate Professional,,,37371,46,37417,2.479852072,3.289629276,1508840
Chhattisgarh,KORBA,PARMIT SINGH,0,BSP,Elephant,MALE,1.0,45.0,GENERAL,12th Pass,,,15841,39,15880,1.052464145,1.396138464,1508840
Chhattisgarh,KORBA,LAKHAN LAL DEWANGAN,0,IND,Cauliflower,MALE,0.0,44.0,GENERAL,10th Pass,,,13694,1,13695,0.907650911,1.204037548,1508840
Rajasthan,KOTA,OM BIRLA,1,BJP,Lotus,MALE,1.0,56.0,GENERAL,Post Graduate,,,796071,3980,800051,41.07016904,58.48633846,1948010
Rajasthan,KOTA,RAMNARAIN MEENA,0,INC,Hand,MALE,0.0,75.0,ST,Graduate Professional,,,517559,2815,520374,26.71310722,38.04103725,1948010
Kerala,KOTTAYAM,Thomas Chazhikadan,1,KEC(M),Two Leaves,MALE,0.0,66.0,GENERAL,Graduate Professional,,,420294,752,421046,34.89240887,46.23586721,1206698
Kerala,KOTTAYAM,V.N. Vasavan,0,CPI(M),"Hammer, Sickle and Star",MALE,0.0,64.0,GENERAL,10th Pass,,,313492,1295,314787,26.08664305,34.56736302,1206698
Kerala,KOTTAYAM,Adv. P.C Thomas,0,KEC,Television,MALE,3.0,68.0,GENERAL,Graduate Professional,,,154658,477,155135,12.85615788,17.0356713,1206698
Kerala,KOZHIKODE,M.K.RAGHAVAN,1,INC,Hand,MALE,1.0,66.0,GENERAL,Graduate,,,491835,1609,493444,37.43816501,45.82154776,1318024
Kerala,KOZHIKODE,A.PRADEEP KUMAR,0,CPI(M),"Hammer, Sickle and Star",MALE,1.0,55.0,GENERAL,12th Pass,,,406075,2144,408219,30.97204603,37.9074959,1318024
Kerala,KOZHIKODE,Adv.PRAKASH BABU,0,BJP,Lotus,MALE,22.0,39.0,GENERAL,Post Graduate,,,160352,864,161216,12.23164373,14.97062817,1318024
Tamil Nadu,KRISHNAGIRI,Dr.A.CHELLAKUMAR,1,INC,Hand,MALE,5.0,58.0,GENERAL,Post Graduate,,,609396,1902,611298,39.94357046,52.59504437,1530404
